term_id,term_str,n,num,has_int,stop,stem_porter,stem_snowball
9953,lay,355,0,0,0,lay,lay
11983,ounce,354,0,0,0,ounc,ounc
17286,tomatoes,353,0,0,0,tomato,tomato
6484,even,353,0,0,0,even,even
16,10,351,1,1,0,10,10
7148,five,349,0,0,0,five,five
14473,roll,348,0,0,0,roll,roll
12733,pie,348,0,0,0,pie,pie
2576,body,347,0,0,0,bodi,bodi
18547,where,347,0,0,1,where,where
15412,sieve,346,0,0,0,siev,siev
14804,saucepan,346,0,0,0,saucepan,saucepan
3633,chocolate,345,0,0,0,chocol,chocol
1352,again,345,0,0,1,again,again
5473,dinner,344,0,0,0,dinner,dinner
10472,makes,344,0,0,0,make,make
1079,above,341,0,0,1,abov,abov
13454,proportion,340,0,0,0,proport,proport
7683,garnish,339,0,0,0,garnish,garnish
8291,ham,339,0,0,0,ham,ham
9733,kinds,339,0,0,0,kind,kind
16099,starch,338,0,0,0,starch,starch
8450,he,337,0,0,1,he,he
7200,flavour,335,0,0,0,flavour,flavour
18594,whites,334,0,0,0,white,white
12859,plain,334,0,0,0,plain,plain
2665,bottom,333,0,0,0,bottom,bottom
5415,different,333,0,0,0,differ,differ
16922,ten,332,0,0,0,ten,ten
16037,sprinkle,331,0,0,0,sprinkl,sprinkl
2392,between,330,0,0,1,between,between
10653,material,330,0,0,0,materi,materi
11632,number,329,0,0,0,number,number
15604,slightly,329,0,0,0,slightli,slight
1148,according,328,0,0,0,accord,accord
13448,properly,327,0,0,0,properli,proper
9759,knife,327,0,0,0,knife,knife
2877,broth,325,0,0,0,broth,broth
18520,were,325,0,0,1,were,were
7728,gelatine,325,0,0,0,gelatin,gelatin
8570,high,325,0,0,0,high,high
15188,several,325,0,0,0,sever,sever
3367,cayenne,324,0,0,0,cayenn,cayenn
11485,next,324,0,0,0,next,next
10238,lobster,323,0,0,0,lobster,lobster
13057,pork,323,0,0,0,pork,pork
11824,once,323,0,0,1,onc,onc
9954,layer,323,0,0,0,layer,layer
7779,get,321,0,0,0,get,get
5781,double,321,0,0,0,doubl,doubl
18019,vanilla,320,0,0,0,vanilla,vanilla
7743,generally,319,0,0,0,gener,general
15785,soon,319,0,0,0,soon,soon
12243,paper,318,0,0,0,paper,paper
13109,potato,318,0,0,0,potato,potato
1483,almost,318,0,0,0,almost,almost
15776,sometimes,315,0,0,0,sometim,sometim
13299,prevent,315,0,0,0,prevent,prevent
66,112,315,1,1,0,112,112
16178,stew,315,0,0,0,stew,stew
14198,require,315,0,0,0,requir,requir
262,18,314,1,1,0,18,18
154,15,314,1,1,0,15,15
11686,obs,314,0,0,0,ob,ob
18535,wheat,314,0,0,0,wheat,wheat
17163,thus,313,0,0,0,thu,thus
9312,instead,312,0,0,0,instead,instead
13153,pounds,311,0,0,0,pound,pound
4017,color,311,0,0,0,color,color
5961,during,310,0,0,1,dure,dure
15494,sirup,309,0,0,0,sirup,sirup
16717,syrup,308,0,0,0,syrup,syrup
1395,air,308,0,0,0,air,air
13483,protein,307,0,0,0,protein,protein
13828,rather,306,0,0,0,rather,rather
14555,rub,305,0,0,0,rub,rub
4444,cookery,304,0,0,0,cookeri,cookeri
10701,means,304,0,0,0,mean,mean
6467,etc,304,0,0,0,etc,etc
16022,spread,303,0,0,0,spread,spread
7761,gently,302,0,0,0,gentli,gentl
1178,acid,301,0,0,0,acid,acid
5404,diet,300,0,0,0,diet,diet
17701,under,300,0,0,1,under,under
15233,shape,298,0,0,0,shape,shape
12478,peas,297,0,0,0,pea,pea
18888,young,296,0,0,0,young,young
2032,b,295,0,0,0,b,b
6264,end,294,0,0,0,end,end
11704,obtained,292,0,0,0,obtain,obtain
3794,clear,291,0,0,0,clear,clear
16001,spoon,289,0,0,0,spoon,spoon
18854,yeast,288,0,0,0,yeast,yeast
13957,red,287,0,0,0,red,red
107,13,287,1,1,0,13,13
10233,loaf,283,0,0,0,loaf,loaf
8221,had,283,0,0,1,had,had
18881,yolks,283,0,0,0,yolk,yolk
16735,tablespoon,281,0,0,0,tablespoon,tablespoon
2691,bowl,281,0,0,0,bowl,bowl
7310,following,281,0,0,0,follow,follow
6023,eaten,280,0,0,0,eaten,eaten
11977,others,280,0,0,0,other,other
4358,contains,280,0,0,0,contain,contain
15277,shell,280,0,0,0,shell,shell
10681,mayonnaise,279,0,0,0,mayonnais,mayonnais
10662,matter,279,0,0,0,matter,matter
18038,varieties,279,0,0,0,varieti,varieti
11490,nice,278,0,0,0,nice,nice
16600,surface,278,0,0,0,surfac,surfac
3651,chop,278,0,0,0,chop,chop
16582,supply,275,0,0,0,suppli,suppli
3843,cloth,274,0,0,0,cloth,cloth
11902,orange,274,0,0,0,orang,orang
15592,sliced,273,0,0,0,slice,slice
11659,nuts,273,0,0,0,nut,nut
12555,per,271,0,0,0,per,per
9545,jars,270,0,0,0,jar,jar
13708,quickly,270,0,0,0,quickli,quick
13446,proper,267,0,0,0,proper,proper
12502,peel,266,0,0,0,peel,peel
15660,smooth,266,0,0,0,smooth,smooth
345,20,265,1,1,0,20,20
4619,covered,264,0,0,0,cover,cover
13671,quality,264,0,0,0,qualiti,qualiti
11987,our,262,0,0,1,our,our
11381,nearly,260,0,0,0,nearli,near
956,8,259,1,1,0,8,8
5294,dessert,258,0,0,0,dessert,dessert
16225,stirring,257,0,0,0,stir,stir
17199,times,257,0,0,0,time,time
5168,delicious,255,0,0,0,delici,delici
17969,using,255,0,0,0,use,use
11462,never,255,0,0,0,never,never
7835,glass,255,0,0,0,glass,glass
16358,strong,254,0,0,0,strong,strong
5502,directions,254,0,0,0,direct,direct
14790,satisfactory,254,0,0,0,satisfactori,satisfactori
7583,frying,254,0,0,0,fri,fri
15708,soda,253,0,0,0,soda,soda
2258,becomes,253,0,0,0,becom,becom
8309,hand,253,0,0,0,hand,hand
12387,pastry,251,0,0,0,pastri,pastri
10009,left,250,0,0,0,left,left
563,34,250,1,1,0,34,34
12890,plate,250,0,0,0,plate,plate
11789,old,249,0,0,0,old,old
16205,still,249,0,0,0,still,still
1469,allowed,248,0,0,0,allow,allow
8542,here,247,0,0,1,here,here
14097,remain,247,0,0,0,remain,remain
16485,sufficiently,246,0,0,0,suffici,suffici
15839,soups,245,0,0,0,soup,soup
10772,melt,245,0,0,0,melt,melt
8440,having,244,0,0,1,have,have
2045,back,244,0,0,0,back,back
4357,containing,243,0,0,0,contain,contain
14685,salads,243,0,0,0,salad,salad
16196,stiff,242,0,0,0,stiff,stiff
13840,raw,242,0,0,0,raw,raw
10845,methods,241,0,0,0,method,method
17279,tomato,241,0,0,0,tomato,tomato
5154,degrees,240,0,0,0,degre,degre
17827,unless,240,0,0,0,unless,unless
9306,instance,240,0,0,0,instanc,instanc
11843,ones,240,0,0,0,one,one
15845,sour,239,0,0,0,sour,sour
14359,rich,238,0,0,0,rich,rich
10191,liquor,238,0,0,0,liquor,liquor
6020,eat,238,0,0,0,eat,eat
13915,recipes,238,0,0,0,recip,recip
7980,grains,238,0,0,0,grain,grain
3060,cabbage,237,0,0,0,cabbag,cabbag
14757,sandwiches,236,0,0,0,sandwich,sandwich
2612,bones,236,0,0,0,bone,bone
13566,pulp,235,0,0,0,pulp,pulp
2865,broiled,235,0,0,0,broil,broil
16278,stove,235,0,0,0,stove,stove
10278,longer,234,0,0,0,longer,longer
4922,custard,234,0,0,0,custard,custard
4046,come,233,0,0,0,come,come
14443,roasting,233,0,0,0,roast,roast
2767,break,232,0,0,0,break,break
6793,family,232,0,0,0,famili,famili
18390,ways,231,0,0,0,way,way
7972,gradually,230,0,0,0,gradual,gradual
3167,canning,229,0,0,0,canning,canning
18432,weight,229,0,0,0,weight,weight
7595,full,228,0,0,0,full,full
7215,flesh,228,0,0,0,flesh,flesh
12354,parts,228,0,0,0,part,part
8664,home,227,0,0,0,home,home
16181,stewed,227,0,0,0,stew,stew
5164,delicate,226,0,0,0,delic,delic
1962,attractive,226,0,0,0,attract,attract
5812,dozen,224,0,0,0,dozen,dozen
13145,poultry,224,0,0,0,poultri,poultri
13103,pot,224,0,0,0,pot,pot
1673,appearance,223,0,0,0,appear,appear
4807,crust,222,0,0,0,crust,crust
3417,cereals,222,0,0,0,cereal,cereal
6396,equal,222,0,0,0,equal,equal
12626,person,220,0,0,0,person,person
11646,nutmeg,219,0,0,0,nutmeg,nutmeg
12575,perfectly,218,0,0,0,perfectli,perfect
15441,similar,217,0,0,0,similar,similar
8997,important,216,0,0,0,import,import
4085,common,216,0,0,0,common,common
11374,nb,215,0,0,0,nb,nb
3832,close,215,0,0,0,close,close
10729,meats,215,0,0,0,meat,meat
2609,bone,214,0,0,0,bone,bone
14413,rise,213,0,0,0,rise,rise
2587,boiler,213,0,0,0,boiler,boiler
14283,results,212,0,0,0,result,result
14202,requires,212,0,0,0,requir,requir
